date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:49	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202016%2000:34:48%20GMT	http://www.penske.com/wp-content/themes/penske_corporation/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/themes/penske_corporation/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from http://www.penske.com/wp-content/themes/penske_corporation/style.css?ver=4.4.2)
20:34:52	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2276e5517a6864d11:0%22	http://www.penske.com/wp-content/themes/penske_corporation/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/themes/penske_corporation/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://www.penske.com/wp-content/themes/penske_corporation/style.css?ver=4.4.2)
20:34:52	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%229ba86e7a6864d11:0%22	http://www.penske.com/wp-content/themes/penske_corporation/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/themes/penske_corporation/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://www.penske.com/wp-content/themes/penske_corporation/style.css?ver=4.4.2)
20:34:55	23424/23424	---M--	200	added ('OK')	font/x-woff	etag:%22f31f9e7a6864d11:0%22	http://www.penske.com/wp-content/themes/penske_corporation/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/themes/penske_corporation/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://www.penske.com/wp-content/themes/penske_corporation/style.css?ver=4.4.2)
20:34:56	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2276e5517a6864d11:0%22	http://www.penske.com/wp-content/themes/penske_corporation/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/themes/penske_corporation/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.penske.com/wp-content/themes/penske_corporation/style.css?ver=4.4.2)
20:34:56	351/351	---M--	200	added ('OK')	image/png	etag:%225da4ea806864d11:0%22	http://www.penske.com/wp-content/themes/penske_corporation/images/select-arrow.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/themes/penske_corporation/images/select-arrow.png	(from http://www.penske.com/wp-content/themes/penske_corporation/css/theme.min.css?ver=4.4.2)
20:34:56	23192/23192	---M--	200	added ('OK')	image/jpeg	etag:%225f190816864d11:0%22	http://www.penske.com/wp-content/themes/penske_corporation/images/truck_rent_bg_white.jpg	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/themes/penske_corporation/images/truck_rent_bg_white.jpg	(from http://www.penske.com/wp-content/themes/penske_corporation/css/theme.min.css?ver=4.4.2)
20:34:57	302/302	---M--	200	added ('OK')	image/png	etag:%223e7da295fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/vc/alert.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/vc/alert.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:34:57	323/323	---M--	200	added ('OK')	image/png	etag:%226d6ac95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/vc/info.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/vc/info.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:34:58	244/244	---M--	200	added ('OK')	image/png	etag:%222269ae95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/vc/tick.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/vc/tick.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
